variable_id,output_frequency,shape,priority,dimension,file_size_MB,experiment_id
alpha,monthly,XYT,3,2,27.4,A
area,NA,NA,NA,NA,0.3,ancillary
Area_tot_native,NA,NA,NA,NA,0,ancillary
Atm_CO2,NA,NA,NA,NA,0,ancillary
dissic,annual,XYZT,1,3,159.2,A
dissicos,monthly,XYT,1,2,24.5,A
fgco2,monthly,XYT,1,2,32.4,A
fgco2_glob,monthly,T,1,2,0,A
fice,monthly,XYT,1,2,2.5,A
intzooc,monthly,XYT,1,2,30.5,A
mask_sfc,NA,NA,NA,NA,0.3,ancillary
mask_vol,NA,NA,NA,NA,35.5,ancillary
mld,monthly,XYT,1,2,30.8,A
no3,annual,XYZT,2,3,185.2,A
no3os,monthly,XYT,2,2,31.4,A
o2,annual,XYZT,2,3,191.9,A
o2os,monthly,XYT,2,2,26.8,A
pco2atm,monthly,XYT,2,2,22.1,A
po4,annual,XYZT,2,3,11,A
po4os,monthly,XYT,2,2,1.3,A
si,annual,XYZT,2,3,11.3,A
sios,monthly,XYT,2,2,1.4,A
so,annual,XYZT,1,3,138.5,A
sos,monthly,XYT,1,2,23.9,A
spco2,monthly,XYT,1,2,27.2,A
talk,annual,XYZT,1,3,154.8,A
talkos,monthly,XYT,1,2,23.8,A
thetao,annual,XYZT,1,3,191.7,A
tos,monthly,XYT,1,2,29.4,A
Vol_tot_native,NA,NA,NA,NA,0,ancillary
volume,NA,NA,NA,NA,35.5,ancillary
